dex,move_name
115,DISABLE
116,FLAIL
116,AURORA_BEAM
116,OCTAZOOKA
116,DISABLE
116,SPLASH
116,DRAGON_RAGE
118,PSYBEAM
118,HAZE
118,HYDRO_PUMP
122,FUTURE_SIGHT
122,HYPNOSIS
122,MIMIC
123,COUNTER
123,SAFEGUARD
123,BATON_PASS
123,RAZOR_WIND
123,REVERSAL
123,LIGHT_SCREEN
127,FURY_ATTACK
127,FLAIL
131,AURORA_BEAM
131,FORESIGHT
133,FLAIL
133,CHARM
138,BUBBLEBEAM
138,AURORA_BEAM
138,SLAM
138,SUPERSONIC
138,HAZE
140,BUBBLEBEAM
140,AURORA_BEAM
140,RAPID_SPIN
140,DIG
140,FLAIL
142,WHIRLWIND
142,PURSUIT
142,FORESIGHT
143,LICK
147,LIGHT_SCREEN
147,MIST
147,HAZE
147,SUPERSONIC
152,VINE_WHIP
152,LEECH_SEED
152,COUNTER
152,ANCIENTPOWER
152,FLAIL
152,SWORDS_DANCE
155,FURY_SWIPES
155,QUICK_ATTACK
155,REVERSAL
155,THRASH
155,FORESIGHT
155,SUBMISSION
158,CRUNCH
158,THRASH
158,HYDRO_PUMP
158,ANCIENTPOWER
158,RAZOR_WIND
158,ROCK_SLIDE
161,DOUBLE_EDGE
161,PURSUIT
161,SLASH
161,FOCUS_ENERGY
161,REVERSAL
163,MIRROR_MOVE
163,SUPERSONIC
163,FAINT_ATTACK
163,WING_ATTACK
163,WHIRLWIND
163,SKY_ATTACK
165,PSYBEAM
165,BIDE
165,LIGHT_SCREEN
167,PSYBEAM
167,DISABLE
167,SONICBOOM
167,BATON_PASS
167,PURSUIT
170,FLAIL
170,SUPERSONIC
170,SCREECH
172,REVERSAL
172,BIDE
172,PRESENT
172,ENCORE
172,DOUBLESLAP
173,PRESENT
173,METRONOME
173,AMNESIA
173,BELLY_DRUM
173,SPLASH
173,MIMIC
174,PERISH_SONG
174,PRESENT
174,FAINT_ATTACK
175,PRESENT
175,MIRROR_MOVE
175,PECK
175,FORESIGHT
175,FUTURE_SIGHT
177,HAZE
177,DRILL_PECK
177,QUICK_ATTACK
177,FAINT_ATTACK
177,STEEL_WING
179,THUNDERBOLT
179,TAKE_DOWN
179,BODY_SLAM
179,SAFEGUARD
179,SCREECH
179,REFLECT
183,LIGHT_SCREEN
183,PRESENT
183,AMNESIA
183,FUTURE_SIGHT
183,BELLY_DRUM
183,PERISH_SONG
183,SUPERSONIC
183,FORESIGHT
185,SELFDESTRUCT
187,CONFUSION
187,GROWL
187,ENCORE
187,DOUBLE_EDGE
187,REFLECT
187,AMNESIA
187,PAY_DAY
190,COUNTER
190,SCREECH
190,PURSUIT
190,AGILITY
190,SPITE
190,SLAM
190,DOUBLESLAP
190,BEAT_UP
193,WHIRLWIND
193,REVERSAL
193,LEECH_LIFE
194,BODY_SLAM
194,ANCIENTPOWER
194,SAFEGUARD
198,WHIRLWIND
198,DRILL_PECK
198,QUICK_ATTACK
198,MIRROR_MOVE
198,WING_ATTACK
198,SKY_ATTACK
200,SCREECH
200,DESTINY_BOND
203,TAKE_DOWN
203,AMNESIA
203,FORESIGHT
203,FUTURE_SIGHT
203,BEAT_UP
204,REFLECT
204,PIN_MISSILE
204,FLAIL
204,SWIFT
206,BIDE
206,ANCIENTPOWER
206,ROCK_SLIDE
206,BITE
206,RAGE
207,METAL_CLAW
207,WING_ATTACK
207,RAZOR_WIND
207,COUNTER
209,METRONOME
209,FAINT_ATTACK
209,REFLECT
209,PRESENT
209,CRUNCH
209,HEAL_BELL
209,LICK
209,LEER
211,FLAIL
211,HAZE
211,BUBBLEBEAM
211,SUPERSONIC
213,SWEET_SCENT
214,HARDEN
214,BIDE
214,FLAIL
215,COUNTER
215,SPITE
215,FORESIGHT
215,REFLECT
215,BITE
216,CRUNCH
216,TAKE_DOWN
216,SEISMIC_TOSS
216,FOCUS_ENERGY
216,COUNTER
216,METAL_CLAW
218,ACID_ARMOR
220,TAKE_DOWN
220,BITE
220,BODY_SLAM
220,ROCK_SLIDE
220,ANCIENTPOWER
222,ROCK_SLIDE
222,SAFEGUARD
222,SCREECH
222,MIST
222,AMNESIA
223,AURORA_BEAM
223,OCTAZOOKA
223,SUPERSONIC
223,HAZE
223,SCREECH
225,AURORA_BEAM
225,QUICK_ATTACK
225,FUTURE_SIGHT
225,SPLASH
225,RAPID_SPIN
226,TWISTER
226,HYDRO_PUMP
226,HAZE
226,SLAM
227,DRILL_PECK
227,PURSUIT
227,WHIRLWIND
227,SKY_ATTACK
228,FIRE_SPIN
228,RAGE
228,PURSUIT
228,COUNTER
228,SPITE
228,REVERSAL
228,BEAT_UP
231,FOCUS_ENERGY
231,BODY_SLAM
231,ANCIENTPOWER
231,WATER_GUN
234,REFLECT
234,SPITE
234,DISABLE
234,LIGHT_SCREEN
234,BITE
236,RAPID_SPIN
236,HI_JUMP_KICK
236,MACH_PUNCH
236,MIND_READER
238,MEDITATE
239,KARATE_CHOP
239,BARRIER
239,ROLLING_KICK
239,MEDITATE
239,CROSS_CHOP
240,KARATE_CHOP
240,MEGA_PUNCH
240,BARRIER
240,SCREECH
240,CROSS_CHOP
241,PRESENT
241,REVERSAL
241,SEISMIC_TOSS
246,PURSUIT
246,STOMP
246,OUTRAGE
246,FOCUS_ENERGY
246,ANCIENTPOWER
